"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance"
380.2,0.227,380.2,0.237,380.2,0.236
380.4,0.226,380.4,0.239,380.4,0.242
380.6,0.235,380.6,0.238,380.6,0.231
380.8,0.243,380.8,0.255,380.8,0.245
381.0,0.208,381.0,0.242,381.0,0.236
381.2,0.240,381.2,0.254,381.2,0.257
381.5,0.221,381.5,0.229,381.5,0.216
381.7,0.239,381.7,0.222,381.7,0.233
381.9,0.231,381.9,0.227,381.9,0.222
382.1,0.245,382.1,0.249,382.1,0.233
382.3,0.235,382.3,0.242,382.3,0.240
382.5,0.232,382.5,0.233,382.5,0.208
382.7,0.213,382.7,0.205,382.7,0.220
382.9,0.239,382.9,0.248,382.9,0.233
383.2,0.222,383.2,0.226,383.2,0.227
383.4,0.222,383.4,0.244,383.4,0.223
383.6,0.227,383.6,0.228,383.6,0.238
383.8,0.233,383.8,0.239,383.8,0.239
384.0,0.236,384.0,0.249,384.0,0.227
384.2,0.231,384.2,0.244,384.2,0.238
384.4,0.228,384.4,0.226,384.4,0.226
384.7,0.221,384.7,0.237,384.7,0.228
384.9,0.220,384.9,0.234,384.9,0.234
385.1,0.233,385.1,0.251,385.1,0.243
385.3,0.235,385.3,0.239,385.3,0.229
385.5,0.246,385.5,0.240,385.5,0.235
385.7,0.226,385.7,0.236,385.7,0.231
385.9,0.230,385.9,0.239,385.9,0.225
386.2,0.228,386.2,0.238,386.2,0.232
386.4,0.232,386.4,0.245,386.4,0.240
386.6,0.228,386.6,0.239,386.6,0.224
386.8,0.232,386.8,0.234,386.8,0.233
387.0,0.239,387.0,0.243,387.0,0.239
387.2,0.245,387.2,0.252,387.2,0.248
387.4,0.233,387.4,0.238,387.4,0.227
387.6,0.239,387.6,0.239,387.6,0.242
387.9,0.241,387.9,0.241,387.9,0.239
388.1,0.237,388.1,0.250,388.1,0.242
388.3,0.254,388.3,0.258,388.3,0.258
388.5,0.244,388.5,0.249,388.5,0.244
388.7,0.237,388.7,0.244,388.7,0.239
388.9,0.244,388.9,0.253,388.9,0.244
389.1,0.241,389.1,0.244,389.1,0.248
389.4,0.239,389.4,0.250,389.4,0.243
389.6,0.239,389.6,0.252,389.6,0.237
389.8,0.235,389.8,0.240,389.8,0.234
390.0,0.243,390.0,0.252,390.0,0.241
390.2,0.254,390.2,0.254,390.2,0.250
390.4,0.254,390.4,0.260,390.4,0.257
390.6,0.244,390.6,0.249,390.6,0.247
390.8,0.252,390.8,0.259,390.8,0.259
391.1,0.241,391.1,0.255,391.1,0.240
391.3,0.242,391.3,0.255,391.3,0.252
391.5,0.251,391.5,0.257,391.5,0.250
391.7,0.248,391.7,0.256,391.7,0.248
391.9,0.245,391.9,0.250,391.9,0.247
392.1,0.251,392.1,0.257,392.1,0.255
392.3,0.244,392.3,0.253,392.3,0.247
392.5,0.248,392.5,0.255,392.5,0.253
392.8,0.256,392.8,0.259,392.8,0.257
393.0,0.253,393.0,0.257,393.0,0.256
393.2,0.252,393.2,0.258,393.2,0.253
393.4,0.259,393.4,0.266,393.4,0.265
393.6,0.257,393.6,0.264,393.6,0.255
393.8,0.261,393.8,0.267,393.8,0.261
394.0,0.264,394.0,0.273,394.0,0.270
394.3,0.258,394.3,0.265,394.3,0.265
394.5,0.264,394.5,0.268,394.5,0.263
394.7,0.262,394.7,0.269,394.7,0.264
394.9,0.259,394.9,0.263,394.9,0.257
395.1,0.266,395.1,0.269,395.1,0.261
395.3,0.264,395.3,0.269,395.3,0.268
395.5,0.269,395.5,0.265,395.5,0.268
395.7,0.269,395.7,0.275,395.7,0.267
396.0,0.265,396.0,0.271,396.0,0.265
396.2,0.270,396.2,0.275,396.2,0.272
396.4,0.271,396.4,0.275,396.4,0.272
396.6,0.271,396.6,0.274,396.6,0.272
396.8,0.271,396.8,0.274,396.8,0.267
397.0,0.267,397.0,0.274,397.0,0.272
397.2,0.274,397.2,0.278,397.2,0.276
397.4,0.273,397.4,0.281,397.4,0.275
397.7,0.277,397.7,0.278,397.7,0.275
397.9,0.274,397.9,0.279,397.9,0.279
398.1,0.275,398.1,0.279,398.1,0.276
398.3,0.281,398.3,0.281,398.3,0.281
398.5,0.279,398.5,0.283,398.5,0.282
398.7,0.282,398.7,0.283,398.7,0.283
398.9,0.279,398.9,0.281,398.9,0.281
399.1,0.282,399.1,0.290,399.1,0.288
399.4,0.279,399.4,0.282,399.4,0.283
399.6,0.283,399.6,0.288,399.6,0.283
399.8,0.284,399.8,0.289,399.8,0.286
400.0,0.286,400.0,0.292,400.0,0.283
400.2,0.288,400.2,0.292,400.2,0.287
400.4,0.289,400.4,0.293,400.4,0.292
400.6,0.293,400.6,0.299,400.6,0.295
400.8,0.292,400.8,0.296,400.8,0.297
401.1,0.292,401.1,0.301,401.1,0.298
401.3,0.291,401.3,0.295,401.3,0.293
401.5,0.294,401.5,0.300,401.5,0.293
401.7,0.293,401.7,0.301,401.7,0.300
401.9,0.297,401.9,0.302,401.9,0.296
402.1,0.299,402.1,0.305,402.1,0.302
402.3,0.295,402.3,0.300,402.3,0.296
402.5,0.299,402.5,0.306,402.5,0.303
402.8,0.292,402.8,0.299,402.8,0.299
403.0,0.306,403.0,0.308,403.0,0.307
403.2,0.301,403.2,0.305,403.2,0.299
403.4,0.305,403.4,0.308,403.4,0.304
403.6,0.301,403.6,0.307,403.6,0.305
403.8,0.301,403.8,0.307,403.8,0.305
404.0,0.300,404.0,0.307,404.0,0.306
404.2,0.307,404.2,0.310,404.2,0.308
404.5,0.305,404.5,0.311,404.5,0.307
404.7,0.306,404.7,0.312,404.7,0.310
404.9,0.305,404.9,0.313,404.9,0.307
405.1,0.307,405.1,0.314,405.1,0.310
405.3,0.310,405.3,0.318,405.3,0.313
405.5,0.314,405.5,0.322,405.5,0.316
405.7,0.309,405.7,0.317,405.7,0.311
405.9,0.314,405.9,0.324,405.9,0.321
406.2,0.315,406.2,0.318,406.2,0.316
406.4,0.312,406.4,0.318,406.4,0.316
406.6,0.311,406.6,0.321,406.6,0.316
406.8,0.315,406.8,0.324,406.8,0.318
407.0,0.316,407.0,0.319,407.0,0.318
407.2,0.317,407.2,0.324,407.2,0.320
407.4,0.318,407.4,0.322,407.4,0.318
407.6,0.318,407.6,0.321,407.6,0.321
407.9,0.316,407.9,0.321,407.9,0.320
408.1,0.319,408.1,0.323,408.1,0.322
408.3,0.319,408.3,0.326,408.3,0.323
408.5,0.318,408.5,0.327,408.5,0.318
408.7,0.316,408.7,0.323,408.7,0.318
408.9,0.317,408.9,0.323,408.9,0.318
409.1,0.316,409.1,0.323,409.1,0.321
409.3,0.318,409.3,0.323,409.3,0.318
409.5,0.319,409.5,0.324,409.5,0.320
409.8,0.320,409.8,0.325,409.8,0.322
410.0,0.319,410.0,0.322,410.0,0.318
410.2,0.319,410.2,0.322,410.2,0.320
410.4,0.317,410.4,0.320,410.4,0.318
410.6,0.317,410.6,0.324,410.6,0.322
410.8,0.318,410.8,0.325,410.8,0.322
411.0,0.320,411.0,0.323,411.0,0.320
411.2,0.319,411.2,0.322,411.2,0.319
411.5,0.319,411.5,0.324,411.5,0.320
411.7,0.320,411.7,0.325,411.7,0.321
411.9,0.321,411.9,0.323,411.9,0.321
412.1,0.320,412.1,0.322,412.1,0.321
412.3,0.318,412.3,0.324,412.3,0.318
412.5,0.317,412.5,0.323,412.5,0.319
412.7,0.318,412.7,0.323,412.7,0.319
412.9,0.314,412.9,0.317,412.9,0.317
413.2,0.316,413.2,0.320,413.2,0.317
413.4,0.314,413.4,0.320,413.4,0.317
413.6,0.316,413.6,0.321,413.6,0.316
413.8,0.313,413.8,0.318,413.8,0.315
414.0,0.315,414.0,0.320,414.0,0.316
414.2,0.315,414.2,0.318,414.2,0.314
414.4,0.312,414.4,0.317,414.4,0.316
414.6,0.312,414.6,0.316,414.6,0.314
414.8,0.313,414.8,0.317,414.8,0.314
415.1,0.310,415.1,0.314,415.1,0.315
415.3,0.313,415.3,0.314,415.3,0.312
415.5,0.311,415.5,0.316,415.5,0.314
415.7,0.309,415.7,0.314,415.7,0.311
415.9,0.309,415.9,0.312,415.9,0.310
416.1,0.307,416.1,0.313,416.1,0.310
416.3,0.306,416.3,0.312,416.3,0.311
416.5,0.307,416.5,0.310,416.5,0.310
416.8,0.307,416.8,0.310,416.8,0.310
417.0,0.303,417.0,0.309,417.0,0.307
417.2,0.305,417.2,0.309,417.2,0.305
417.4,0.304,417.4,0.308,417.4,0.305
417.6,0.303,417.6,0.306,417.6,0.304
417.8,0.303,417.8,0.307,417.8,0.302
418.0,0.301,418.0,0.306,418.0,0.303
418.2,0.302,418.2,0.304,418.2,0.302
418.4,0.298,418.4,0.303,418.4,0.301
418.7,0.300,418.7,0.302,418.7,0.300
418.9,0.300,418.9,0.302,418.9,0.302
419.1,0.296,419.1,0.304,419.1,0.299
419.3,0.296,419.3,0.301,419.3,0.299
419.5,0.296,419.5,0.301,419.5,0.298
419.7,0.293,419.7,0.299,419.7,0.296
419.9,0.295,419.9,0.297,419.9,0.296
420.1,0.291,420.1,0.297,420.1,0.295
420.3,0.292,420.3,0.298,420.3,0.294
420.6,0.292,420.6,0.297,420.6,0.293
420.8,0.292,420.8,0.297,420.8,0.293
421.0,0.290,421.0,0.294,421.0,0.291
421.2,0.288,421.2,0.294,421.2,0.291
421.4,0.287,421.4,0.294,421.4,0.291
421.6,0.286,421.6,0.293,421.6,0.290
421.8,0.286,421.8,0.291,421.8,0.289
422.0,0.287,422.0,0.294,422.0,0.290
422.3,0.286,422.3,0.293,422.3,0.288
422.5,0.286,422.5,0.290,422.5,0.288
422.7,0.283,422.7,0.287,422.7,0.285
422.9,0.284,422.9,0.290,422.9,0.284
423.1,0.284,423.1,0.288,423.1,0.285
423.3,0.284,423.3,0.287,423.3,0.284
423.5,0.280,423.5,0.285,423.5,0.283
423.7,0.279,423.7,0.286,423.7,0.281
423.9,0.280,423.9,0.284,423.9,0.282
424.2,0.279,424.2,0.282,424.2,0.278
424.4,0.281,424.4,0.285,424.4,0.280
424.6,0.279,424.6,0.283,424.6,0.279
424.8,0.278,424.8,0.283,424.8,0.279
425.0,0.275,425.0,0.280,425.0,0.278
425.2,0.278,425.2,0.283,425.2,0.279
425.4,0.277,425.4,0.281,425.4,0.278
425.6,0.276,425.6,0.280,425.6,0.276
425.8,0.273,425.8,0.279,425.8,0.276
426.1,0.272,426.1,0.278,426.1,0.275
426.3,0.273,426.3,0.279,426.3,0.274
426.5,0.272,426.5,0.278,426.5,0.274
426.7,0.273,426.7,0.278,426.7,0.275
426.9,0.272,426.9,0.277,426.9,0.275
427.1,0.271,427.1,0.276,427.1,0.273
427.3,0.271,427.3,0.275,427.3,0.272
427.5,0.271,427.5,0.273,427.5,0.272
427.7,0.270,427.7,0.275,427.7,0.271
428.0,0.268,428.0,0.273,428.0,0.271
428.2,0.269,428.2,0.273,428.2,0.270
428.4,0.267,428.4,0.272,428.4,0.269
428.6,0.269,428.6,0.274,428.6,0.271
428.8,0.268,428.8,0.274,428.8,0.270
429.0,0.268,429.0,0.272,429.0,0.270
429.2,0.267,429.2,0.271,429.2,0.268
429.4,0.266,429.4,0.271,429.4,0.269
429.6,0.266,429.6,0.271,429.6,0.267
429.9,0.266,429.9,0.272,429.9,0.268
430.1,0.268,430.1,0.272,430.1,0.270
430.3,0.265,430.3,0.269,430.3,0.267
430.5,0.265,430.5,0.271,430.5,0.266
430.7,0.266,430.7,0.270,430.7,0.266
430.9,0.265,430.9,0.268,430.9,0.266
431.1,0.264,431.1,0.269,431.1,0.267
431.3,0.265,431.3,0.269,431.3,0.267
431.5,0.264,431.5,0.269,431.5,0.265
431.7,0.264,431.7,0.267,431.7,0.264
432.0,0.262,432.0,0.268,432.0,0.266
432.2,0.263,432.2,0.268,432.2,0.264
432.4,0.264,432.4,0.269,432.4,0.269
432.6,0.263,432.6,0.269,432.6,0.266
432.8,0.263,432.8,0.267,432.8,0.264
433.0,0.263,433.0,0.266,433.0,0.264
433.2,0.261,433.2,0.266,433.2,0.263
433.4,0.264,433.4,0.270,433.4,0.266
433.6,0.264,433.6,0.269,433.6,0.265
433.9,0.264,433.9,0.269,433.9,0.267
434.1,0.262,434.1,0.268,434.1,0.264
434.3,0.263,434.3,0.268,434.3,0.266
434.5,0.263,434.5,0.268,434.5,0.265
434.7,0.264,434.7,0.269,434.7,0.266
434.9,0.263,434.9,0.266,434.9,0.264
435.1,0.265,435.1,0.269,435.1,0.265
435.3,0.262,435.3,0.269,435.3,0.264
435.5,0.264,435.5,0.269,435.5,0.266
435.8,0.264,435.8,0.270,435.8,0.264
436.0,0.265,436.0,0.269,436.0,0.267
436.2,0.261,436.2,0.269,436.2,0.265
436.4,0.266,436.4,0.269,436.4,0.268
436.6,0.265,436.6,0.270,436.6,0.267
436.8,0.266,436.8,0.271,436.8,0.268
437.0,0.266,437.0,0.269,437.0,0.268
437.2,0.264,437.2,0.268,437.2,0.268
437.4,0.267,437.4,0.274,437.4,0.269
437.6,0.267,437.6,0.271,437.6,0.269
437.9,0.267,437.9,0.272,437.9,0.268
438.1,0.270,438.1,0.274,438.1,0.270
438.3,0.268,438.3,0.274,438.3,0.271
438.5,0.269,438.5,0.275,438.5,0.272
