"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance"
380.2,0.266,380.2,0.285,380.2,0.273
380.4,0.274,380.4,0.277,380.4,0.283
380.6,0.272,380.6,0.282,380.6,0.296
380.8,0.287,380.8,0.292,380.8,0.283
381.0,0.270,381.0,0.278,381.0,0.285
381.2,0.292,381.2,0.281,381.2,0.291
381.5,0.254,381.5,0.252,381.5,0.261
381.7,0.260,381.7,0.269,381.7,0.297
381.9,0.275,381.9,0.266,381.9,0.283
382.1,0.288,382.1,0.283,382.1,0.297
382.3,0.294,382.3,0.279,382.3,0.293
382.5,0.281,382.5,0.259,382.5,0.278
382.7,0.242,382.7,0.237,382.7,0.246
382.9,0.295,382.9,0.279,382.9,0.288
383.2,0.268,383.2,0.261,383.2,0.266
383.4,0.279,383.4,0.265,383.4,0.269
383.6,0.285,383.6,0.286,383.6,0.294
383.8,0.282,383.8,0.267,383.8,0.274
384.0,0.292,384.0,0.298,384.0,0.296
384.2,0.279,384.2,0.294,384.2,0.282
384.4,0.269,384.4,0.272,384.4,0.270
384.7,0.283,384.7,0.276,384.7,0.278
384.9,0.279,384.9,0.275,384.9,0.281
385.1,0.287,385.1,0.271,385.1,0.297
385.3,0.269,385.3,0.277,385.3,0.276
385.5,0.295,385.5,0.286,385.5,0.295
385.7,0.290,385.7,0.282,385.7,0.275
385.9,0.282,385.9,0.270,385.9,0.279
386.2,0.275,386.2,0.275,386.2,0.272
386.4,0.291,386.4,0.274,386.4,0.296
386.6,0.272,386.6,0.266,386.6,0.270
386.8,0.287,386.8,0.273,386.8,0.287
387.0,0.297,387.0,0.285,387.0,0.289
387.2,0.301,387.2,0.296,387.2,0.304
387.4,0.282,387.4,0.276,387.4,0.278
387.6,0.288,387.6,0.285,387.6,0.281
387.9,0.284,387.9,0.277,387.9,0.293
388.1,0.294,388.1,0.294,388.1,0.301
388.3,0.312,388.3,0.299,388.3,0.306
388.5,0.291,388.5,0.292,388.5,0.301
388.7,0.285,388.7,0.288,388.7,0.286
388.9,0.293,388.9,0.293,388.9,0.302
389.1,0.290,389.1,0.286,389.1,0.293
389.4,0.303,389.4,0.291,389.4,0.300
389.6,0.295,389.6,0.285,389.6,0.292
389.8,0.285,389.8,0.281,389.8,0.281
390.0,0.293,390.0,0.299,390.0,0.302
390.2,0.302,390.2,0.299,390.2,0.305
390.4,0.309,390.4,0.302,390.4,0.311
390.6,0.298,390.6,0.295,390.6,0.298
390.8,0.307,390.8,0.305,390.8,0.315
391.1,0.301,391.1,0.293,391.1,0.304
391.3,0.299,391.3,0.293,391.3,0.307
391.5,0.308,391.5,0.300,391.5,0.303
391.7,0.301,391.7,0.292,391.7,0.303
391.9,0.299,391.9,0.291,391.9,0.294
392.1,0.313,392.1,0.300,392.1,0.310
392.3,0.299,392.3,0.292,392.3,0.298
392.5,0.303,392.5,0.298,392.5,0.305
392.8,0.309,392.8,0.305,392.8,0.311
393.0,0.310,393.0,0.295,393.0,0.311
393.2,0.316,393.2,0.300,393.2,0.307
393.4,0.314,393.4,0.308,393.4,0.317
393.6,0.307,393.6,0.310,393.6,0.318
393.8,0.322,393.8,0.308,393.8,0.325
394.0,0.330,394.0,0.312,394.0,0.323
394.3,0.317,394.3,0.312,394.3,0.319
394.5,0.319,394.5,0.316,394.5,0.325
394.7,0.314,394.7,0.306,394.7,0.315
394.9,0.315,394.9,0.306,394.9,0.316
395.1,0.316,395.1,0.312,395.1,0.318
395.3,0.322,395.3,0.311,395.3,0.324
395.5,0.322,395.5,0.310,395.5,0.320
395.7,0.322,395.7,0.316,395.7,0.323
396.0,0.324,396.0,0.313,396.0,0.321
396.2,0.324,396.2,0.315,396.2,0.323
396.4,0.331,396.4,0.325,396.4,0.328
396.6,0.323,396.6,0.320,396.6,0.327
396.8,0.320,396.8,0.317,396.8,0.324
397.0,0.327,397.0,0.316,397.0,0.329
397.2,0.329,397.2,0.322,397.2,0.330
397.4,0.329,397.4,0.321,397.4,0.328
397.7,0.332,397.7,0.322,397.7,0.335
397.9,0.327,397.9,0.321,397.9,0.335
398.1,0.332,398.1,0.322,398.1,0.327
398.3,0.341,398.3,0.330,398.3,0.335
398.5,0.336,398.5,0.326,398.5,0.337
398.7,0.338,398.7,0.324,398.7,0.335
398.9,0.336,398.9,0.327,398.9,0.334
399.1,0.341,399.1,0.333,399.1,0.339
399.4,0.336,399.4,0.323,399.4,0.337
399.6,0.336,399.6,0.325,399.6,0.337
399.8,0.343,399.8,0.332,399.8,0.341
400.0,0.340,400.0,0.330,400.0,0.340
400.2,0.341,400.2,0.333,400.2,0.342
400.4,0.348,400.4,0.338,400.4,0.346
400.6,0.352,400.6,0.339,400.6,0.351
400.8,0.349,400.8,0.337,400.8,0.353
401.1,0.353,401.1,0.341,401.1,0.354
401.3,0.350,401.3,0.338,401.3,0.352
401.5,0.353,401.5,0.342,401.5,0.348
401.7,0.353,401.7,0.345,401.7,0.353
401.9,0.354,401.9,0.341,401.9,0.357
402.1,0.360,402.1,0.346,402.1,0.355
402.3,0.355,402.3,0.345,402.3,0.356
402.5,0.359,402.5,0.347,402.5,0.358
402.8,0.353,402.8,0.345,402.8,0.357
403.0,0.360,403.0,0.351,403.0,0.363
403.2,0.358,403.2,0.345,403.2,0.359
403.4,0.365,403.4,0.354,403.4,0.363
403.6,0.364,403.6,0.354,403.6,0.363
403.8,0.365,403.8,0.351,403.8,0.360
404.0,0.360,404.0,0.351,404.0,0.366
404.2,0.367,404.2,0.357,404.2,0.367
404.5,0.361,404.5,0.351,404.5,0.365
404.7,0.368,404.7,0.355,404.7,0.365
404.9,0.365,404.9,0.354,404.9,0.367
405.1,0.366,405.1,0.355,405.1,0.366
405.3,0.375,405.3,0.360,405.3,0.371
405.5,0.373,405.5,0.363,405.5,0.370
405.7,0.369,405.7,0.358,405.7,0.369
405.9,0.377,405.9,0.366,405.9,0.377
406.2,0.371,406.2,0.361,406.2,0.372
406.4,0.374,406.4,0.362,406.4,0.370
406.6,0.372,406.6,0.360,406.6,0.368
406.8,0.377,406.8,0.366,406.8,0.374
407.0,0.376,407.0,0.365,407.0,0.376
407.2,0.377,407.2,0.367,407.2,0.376
407.4,0.375,407.4,0.364,407.4,0.375
407.6,0.379,407.6,0.368,407.6,0.377
407.9,0.376,407.9,0.366,407.9,0.374
408.1,0.378,408.1,0.367,408.1,0.377
408.3,0.384,408.3,0.369,408.3,0.380
408.5,0.378,408.5,0.365,408.5,0.378
408.7,0.378,408.7,0.365,408.7,0.374
408.9,0.378,408.9,0.368,408.9,0.380
409.1,0.378,409.1,0.366,409.1,0.377
409.3,0.376,409.3,0.367,409.3,0.377
409.5,0.379,409.5,0.368,409.5,0.379
409.8,0.380,409.8,0.368,409.8,0.381
410.0,0.379,410.0,0.366,410.0,0.377
410.2,0.377,410.2,0.366,410.2,0.377
410.4,0.376,410.4,0.363,410.4,0.377
410.6,0.378,410.6,0.367,410.6,0.379
410.8,0.377,410.8,0.365,410.8,0.377
411.0,0.380,411.0,0.368,411.0,0.377
411.2,0.378,411.2,0.364,411.2,0.379
411.5,0.379,411.5,0.366,411.5,0.378
411.7,0.379,411.7,0.366,411.7,0.378
411.9,0.381,411.9,0.369,411.9,0.379
412.1,0.375,412.1,0.365,412.1,0.373
412.3,0.375,412.3,0.367,412.3,0.377
412.5,0.374,412.5,0.363,412.5,0.375
412.7,0.379,412.7,0.368,412.7,0.377
412.9,0.376,412.9,0.364,412.9,0.374
413.2,0.375,413.2,0.365,413.2,0.372
413.4,0.374,413.4,0.363,413.4,0.372
413.6,0.375,413.6,0.364,413.6,0.374
413.8,0.371,413.8,0.363,413.8,0.372
414.0,0.373,414.0,0.362,414.0,0.373
414.2,0.371,414.2,0.360,414.2,0.371
414.4,0.373,414.4,0.361,414.4,0.371
414.6,0.372,414.6,0.358,414.6,0.370
414.8,0.369,414.8,0.361,414.8,0.370
415.1,0.368,415.1,0.360,415.1,0.371
415.3,0.370,415.3,0.358,415.3,0.369
415.5,0.370,415.5,0.361,415.5,0.370
415.7,0.366,415.7,0.357,415.7,0.368
415.9,0.366,415.9,0.354,415.9,0.365
416.1,0.367,416.1,0.357,416.1,0.368
416.3,0.367,416.3,0.357,416.3,0.365
416.5,0.364,416.5,0.353,416.5,0.365
416.8,0.362,416.8,0.353,416.8,0.364
417.0,0.361,417.0,0.354,417.0,0.362
417.2,0.362,417.2,0.353,417.2,0.361
417.4,0.362,417.4,0.350,417.4,0.360
417.6,0.360,417.6,0.349,417.6,0.359
417.8,0.360,417.8,0.350,417.8,0.360
418.0,0.359,418.0,0.347,418.0,0.359
418.2,0.358,418.2,0.349,418.2,0.359
418.4,0.356,418.4,0.344,418.4,0.354
418.7,0.358,418.7,0.346,418.7,0.357
418.9,0.359,418.9,0.344,418.9,0.359
419.1,0.355,419.1,0.344,419.1,0.354
419.3,0.353,419.3,0.342,419.3,0.353
