Vernier Format 2
1.71 m.cmbl 9/24/2015 12:39:31 .
Latest
Time	Temperature
t	Temp
s	°C

Vernier Format 2
1.71 m.cmbl 9/24/2015 12:39:31 .
Run 1
Time	Temperature
t	Temp
s	°C

0	15.6755356382
0.5	14.9273831222
1	14.2860815004
1.5	13.6044410775
2	12.573139372
2.5	11.2064212818
3	9.99929882298
3.5	8.97397005114
4	8.10661131439
4.5	7.39178820698
5	6.66258033087
5.5	6.08080320509
6	5.52075874054
6.5	5.03655360009
7	4.54220268311
7.5	4.18263879025
8	3.8641971448
8.5	3.56381227829
9	3.27997170163
9.5	3.06129488011
10	2.87142133397
10.5	2.67700110836
11	2.4798534621
11.5	2.276158029
12	2.1208706528
12.5	1.97645331062
13	1.8544667527
13.5	1.74170582388
14	1.62481214436
14.5	1.48450381057
15	1.35918308878
15.5	1.26253078727
16	1.16565755449
16.5	1.08022487972
17	1.01214301662
17.5	0.947850232996
18	0.875646759047
18.5	0.803318187179
19	0.721062891782
19.5	0.656319185873
20	0.605237591881
20.5	0.544249947459
21	0.489086672783
21.5	0.435823363549
22	0.380514245191
22.5	0.289486766336
23	0.224059230439
23.5	0.12870380407
24	0.0111882082517
24.5	-0.128681970574
25	-0.2911416966
25.5	-0.424006230754
26	-0.533044652158
26.5	-0.63630171991
27	-0.70732101552
27.5	-0.798820279573
28	-0.876252832941
28.5	-0.974281989424
29	-1.0602601275
29.5	-1.17108371305
30	-1.28016432708
30.5	-1.35649813721
31	-1.42057029846
31.5	-1.50132945451
32	-1.60095987439
32.5	-1.66960699688
33	-1.76132959711
33.5	-1.80936386472
34	-1.86164421848
34.5	-1.93915209971
35	-2.00211347749
35.5	-2.03994092192
36	-2.08622624047
36.5	-2.10307142733
37	-2.10307142733
37.5	-2.10307142733
38	-2.09885942131
38.5	-2.1093903236
39	-2.13678452387
39.5	-2.14100079459
40	-2.14943476037
40.5	-2.1641987739
41	-2.19796698401
41.5	-2.24444814644
42	-2.26559509411
42.5	-2.2931040656
43	-2.33122697423
43.5	-2.37151023755
44	-2.41396089908
44.5	-2.47560075646
45	-2.52669074023
45.5	-2.58638509349
46	-2.62267525192
46.5	-2.67610814045
47	-2.71891038781
47.5	-2.76176255787
48	-2.81539825902
48.5	-2.89062047774
49	-2.92936655711
49.5	-2.9724660676
50	-3.03289117111
50.5	-3.09341684044
51	-3.14754303138
51.5	-3.1952410509
52	-3.24517449532
52.5	-3.27777700807
53	-3.31693895128
53.5	-3.36922117422
54	-3.39975425315
54.5	-3.52652577004
55	-3.59885516394
55.5	-3.6823254304
56	-3.71532810714
56.5	-3.78142545634
57	-3.81231302286
57.5	-3.85427492682
58	-3.90956379197
58.5	-3.95828958151
59	-3.96272253253
59.5	-3.99155029018
60	-4.01596141902
60.5	-4.04927658871
61	-4.06928082645
61.5	-4.09374590167
62	-4.11822800763
62.5	-4.14272718097
63	-4.18954585675
63.5	-4.18508424247
64	-4.18508424247
64.5	-4.19400803879
65	-4.23419326272
65.5	-4.27442465525
66	-4.30798620122
66.5	-4.34158001713
67	-4.36623604666
67.5	-4.37744909685
68	-4.37072083406
68.5	-4.36623604666
69	-4.36847836827
69.5	-4.41110990656
70	-4.46503497456
70.5	-4.51453985711
71	-4.54833369598
71.5	-4.57313678608
72	-4.60698781588
72.5	-4.6318329543
73	-4.63861199832
73.5	-4.64313209921
74	-4.67252716721
74.5	-4.68157683566
75	-4.70194726284
75.5	-4.71100464514
76	-4.72686078619
76.5	-4.74499101898
77	-4.74499101898
77.5	-4.76086279675
78	-4.76993566685
78.5	-4.80170954506
79	-4.80170954506
79.5	-4.8153359038
80	-4.82215110731
80.5	-4.840331588
81	-4.86989539141
81.5	-4.88582490643
82	-4.88582490643
82.5	-4.89720765784
83	-4.9359372819
83.5	-4.95189749732
84	-5.00895905242
84.5	-5.0706926341
85	-5.12566077814
85.5	-5.15547222898
86	-5.16694512173
86.5	-5.21517354639
87	-5.27728222662
87.5	-5.35796304907
88	-5.39259945856
88.5	-5.4689246903
89	-5.48745378675
89.5	-5.52918151517
90	-5.55470725622
90.5	-5.5639941439
91	-5.59651845087
91.5	-5.63140087082
92	-5.66631955334
92.5	-5.71293439918
93	-5.76895795032
93.5	-5.80402035905
94	-5.84614386328
94.5	-5.88597603695
95	-5.89770044088
95.5	-5.90708293404
96	-5.9164680696
96.5	-5.9328984217
97	-5.93759429725
97.5	-5.96343346036
98	-5.9775360112
98.5	-5.97283449655
99	-5.98223819058
99.5	-5.99399654909
100	-6.00811207178
100.5	-5.99399654909
101	-5.99399654909
101.5	-6.01046524191
102	-6.03871629377
102.5	-6.01517208223
103	-6.02458776402
103.5	-6.01517208223
104	-6.01281857872
104.5	-6.00340623138
105	-6.00811207178
105.5	-6.00811207178
106	-6.01281857872
106.5	-6.00340623138
107	-6.00340623138
107.5	-6.00811207178
108	-5.97283449655
108.5	-5.89066530376
109	-5.82039541045
109.5	-5.76895795032
110	-5.74326885289
110.5	-5.7036062439
111	-5.680297205
111.5	-5.61976937386
112	-5.58954630854
112.5	-5.53846136451
113	-5.496722153
113.5	-5.45734916928
114	-5.42264639577
114.5	-5.3879792216
115	-5.36257918951
115.5	-5.32105655776
116	-5.31644607153
116.5	-5.28188739176
117	-5.28649318195
117.5	-5.26577204673
118	-5.24506355091
118.5	-5.22206890702
119	-5.23586382604
119.5	-5.21517354639
120	-5.19219910371
120.5	-5.20598190692
121	-5.20598190692
121.5	-5.20598190692
122	-5.21977029808
122.5	-5.22206890702
123	-5.22206890702
123.5	-5.21057741609
124	-5.20598190692
124.5	-5.18760607656
125	-5.18990251263
125.5	-5.19679275098
126	-5.19679275098
126.5	-5.20598190692
127	-5.20138701864
127.5	-5.20138701864
