Vernier Format 2
1g cacl2.cmbl 10/8/2015 12:02:57 .
Latest
Time	Temperature
t	Temp
s	°C

0	19.9465866023
0.5	20.095258979
1	19.849368506
1.5	19.5441080094
2	19.2087177409
2.5	18.7406509886
3	18.2606943893
3.5	17.8403119509
4	17.3121877362
4.5	16.8299774133
5	16.5406060912
5.5	16.2701599969
6	16.0051124658
6.5	15.6542368342
7	15.3082694636
7.5	15.014705465
8	14.6710833737
8.5	14.2737346671
9	13.7396424614
9.5	13.2131644182
10	12.7587696514
10.5	12.3349532922
11	11.8849619495
11.5	11.4130495574
12	10.9573493412
12.5	10.4354277699
13	9.99276762487
13.5	9.58326012763
14	9.20252932407
14.5	8.86602133224
15	8.45573276043
15.5	8.01226185997
16	7.60615566552
16.5	7.22962048616
17	6.82986548042
17.5	6.4340995812
18	6.00391366879
18.5	5.67938060877
19	5.40058372292
19.5	5.08286965163
20	4.82580649301
20.5	4.63212827389
21	4.47014261095
21.5	4.29495109041
22	4.15179752714
22.5	4.09914005307
23	4.09187239862
23.5	3.93899501688
24	3.64826087396
24.5	3.36309219176
25	3.15408196104
25.5	2.89752947333
26	2.65826251401
26.5	2.49302375411
27	2.29127875628
27.5	2.06012145489
28	1.76466406573
28.5	1.52683689238
29	1.28187886294
29.5	1.01992938773
30	0.768085846751
30.5	0.524557259417
31	0.265707078781
31.5	-0.0427042335374
32	-0.271049243863
32.5	-0.438123960265
33	-0.587676561229
33.5	-0.733732264712
34	-0.884412542689
34.5	-1.02748415383
35	-1.21632509152
35.5	-1.37302266542
36	-1.57602789773
36.5	-1.78429491347
37	-1.96432402408
37.5	-2.08833147519
38	-2.23387916476
38.5	-2.35454354459
39	-2.49262291551
39.5	-2.63762864807
40	-2.80251853052
40.5	-2.91859963188
41	-3.04153152582
41.5	-3.18656400766
42	-3.38230360512
42.5	-3.5571931016
43	-3.70652440152
43.5	-3.89186195752
44	-4.10264651323
44.5	-4.2520681721
45	-4.37744909685
45.5	-4.52354833037
46	-4.64087197493
46.5	-4.76993566685
47	-4.87444592752
47.5	-4.96786515002
48	-5.07755881188
48.5	-5.26347047901
49	-5.42495880526
49.5	-5.58257561136
50	-5.70826999701
50.5	-5.80635916089
51	-5.89301018451
51.5	-5.98458952964
52	-6.09765000035
52.5	-6.22530580346
53	-6.36534808595
53.5	-6.49643506978
54	-6.62565077178
54.5	-6.74334612814
55	-6.83732706739
55.5	-6.93884251306
56	-7.03339271281
56.5	-7.09171531095
57	-7.14770697788
57.5	-7.22332846042
58	-7.24042893076
58.5	-7.29912837715
59	-7.33587017447
59.5	-7.40948050625
60	-7.47587504883
60.5	-7.50296432344
61	-7.51774999714
61.5	-7.55474422563
62	-7.55474422563
62.5	-7.62144237949
63	-7.66846215109
63.5	-7.72299326011
64	-7.76022741596
64.5	-7.84229706277
65	-7.8846586769
65.5	-7.91209945867
66	-7.96205305335
66.5	-8.02460667838
67	-8.08226612109
67.5	-8.13751788989
68	-8.20294123129
68.5	-8.23318279221
69	-8.30133345181
69.5	-8.34685000279
70	-8.43300747814
70.5	-8.51177129901
71	-8.58053520946
71.5	-8.62901622926
72	-8.69804121183
72.5	-8.75952645343
73	-8.79288218071
73.5	-8.85712946102
74	-8.88801584829
74.5	-8.94730163058
75	-9.00411708278
75.5	-9.07658027923
76	-9.08435437354
76.5	-9.11806496312
77	-9.13623222493
77.5	-9.18559789134
78	-9.19600084202
78.5	-9.24285807454
79	-9.26109980034
79.5	-9.28717837326
80	-9.31850217919
80.5	-9.357702353
81	-9.39695315733
81.5	-9.40219043303
82	-9.47035741405
82.5	-9.52815716382
83	-9.56499637694
83.5	-9.62033951201
84	-9.67314174008
84.5	-9.65993251666
85	-9.71280417331
85.5	-9.70222241934
86	-9.76311834626
86.5	-9.74192318087
87	-9.79759237166
87.5	-9.84539100725
88	-9.86134080574
88.5	-9.88794265483
89	-9.92256037025
89.5	-9.92788972276
90	-9.66521551177
90.5	-9.06103801197
91	-8.55250187934
91.5	-8.0647063903
92	-7.7875603145
92.5	-7.7875603145
93	-7.5942521729
93.5	-7.31382004103
94	-7.21844428343
94.5	-7.22332846042
95	-7.08441921709
95.5	-6.89529696207
96	-6.74334612814
96.5	-6.64003965043
97	-6.58012775897
97.5	-6.50121175136
98	-6.46540359344
98.5	-6.46540359344
99	-6.41295555864
99.5	-6.40819170697
100	-6.36296952079
100.5	-6.36296952079
101	-6.3724848136
101.5	-6.3724848136
102	-6.3724848136
102.5	-6.3510792738
103	-6.3415701686
103.5	-6.35583485698
104	-6.3510792738
104.5	-6.3510792738
105	-6.37724349255
105.5	-6.38200286024
106	-6.40819170697
106.5	-6.43201787763
107	-6.42248533509
107.5	-6.43678518692
108	-6.42725126045
108.5	-6.46063212532
109	-6.46540359344
109.5	-6.51076720396
110	-6.54423325835
110.5	-6.49165908429
111	-6.53705908086
111.5	-6.54184169114
112	-6.57533954911
112.5	-6.60647545678
113	-6.61126823038
113.5	-6.65683469592
114	-6.66403521966
114.5	-6.70006170481
115	-6.67844103737
115.5	-6.67844103737
116	-6.66883645195
116.5	-6.60647545678
117	-6.60647545678
117.5	-6.64723646875
118	-6.79873790742
118.5	-6.81561502437
119	-6.76982607938
119.5	-6.73612806107
120	-6.70967549602
120.5	-6.70967549602
121	-6.75297270819
121.5	-6.7939174835
122	-6.80596988415
122.5	-6.82526302921
123	-6.83008810663
123.5	-6.85663885853
124	-6.85180983335
124.5	-6.87837837121
125	-6.89046217797
125.5	-6.90013246743
126	-6.90013246743
126.5	-6.93158085449
