Vernier Format 2
1g kcl.cmbl 10/8/2015 12:05:55 .
Latest
Time	Temperature
t	Temp
s	°C

0	17.792525724
0.5	17.4230814432
1	17.0044579565
1.5	16.5541867286
2	16.0627209293
2.5	15.5126396164
3	14.9947967991
3.5	14.5188147793
4	14.0713137709
4.5	13.6526407153
5	13.2740805646
5.5	12.8780993127
6	12.4359953444
6.5	11.9834281754
7	11.4338396284
7.5	10.8800377386
8	10.4029789813
8.5	9.9519328795
9	9.50927118252
9.5	9.07013392636
10	8.60115380326
10.5	8.13690560973
11	7.69438937073
11.5	7.27404996068
12	6.82125509562
12.5	6.40807418488
13	6.03363436518
13.5	5.62832266231
14	5.26238463062
14.5	4.90806862137
15	4.53320100473
15.5	4.14635288932
16	3.76916091236
16.5	3.47184653787
17	3.17446989711
17.5	2.85836161562
18	2.59636951836
18.5	2.30072658294
19	2.04682132479
19.5	1.74361947668
20	1.47487680946
20.5	1.19861935711
21	0.922495651087
21.5	0.683798565827
22	0.429900952432
22.5	0.15653892076
23	-0.0906691634407
23.5	-0.309233546275
24	-0.52900084195
24.5	-0.754060687056
25	-0.910943364432
25.5	-1.10332058256
26	-1.32759727943
26.5	-1.57602789773
27	-1.78429491347
27.5	-2.01892097733
28	-2.22965240974
28.5	-2.40971364827
29	-2.60132377541
29.5	-2.76390648019
30	-2.94013666031
30.5	-3.13021385831
31	-3.31476217141
31.5	-3.49150952947
32	-3.64935330091
32.5	-3.83660070296
33	-3.99155029018
33.5	-4.13604389352
34	-4.29232013641
34.5	-4.43356853132
35	-4.59344343398
35.5	-4.70647565692
36	-4.82896766132
36.5	-4.96786515002
37	-5.11420177485
37.5	-5.21747184455
38	-5.31875123625
38.5	-5.42958409903
39	-5.55702873794
39.5	-5.63140087082
40	-5.71293439918
40.5	-5.78999098345
41	-5.8344375599
41.5	-5.83209679163
42	-5.83677849226
42.5	-5.80869812641
43	-5.74326885289
43.5	-5.63838170274
44	-5.50599306739
44.5	-5.42264639577
45	-5.36027104062
45.5	-5.3348917808
46	-5.2841902087
46.5	-5.2680737705
47	-5.2519649799
47.5	-5.2519649799
48	-5.21747184455
48.5	-5.21747184455
49	-5.19908980725
49.5	-5.17842188164
50	-5.18301366928
50.5	-5.13712363454
51	-5.13712363454
51.5	-5.15317811415
52	-5.12795304105
52.5	-5.13941666854
53	-5.14859034795
53.5	-5.16465023393
54	-5.16465023393
54.5	-5.17842188164
55	-5.16465023393
55.5	-5.17383071336
56	-5.16924016421
56.5	-5.17383071336
57	-5.17383071336
57.5	-5.20827958388
58	-5.21747184455
58.5	-5.21287540359
59	-5.23586382604
59.5	-5.22206890702
60	-5.23126489752
60.5	-5.2519649799
61	-5.2519649799
61.5	-5.23356428398
62	-5.23126489752
62.5	-5.26347047901
63	-5.2841902087
63.5	-5.30261837362
64	-5.32336203606
64.5	-5.37874064026
65	-5.35565521485
65.5	-5.40415281301
66	-5.40415281301
66.5	-5.39953099757
67	-5.39490981372
67.5	-5.41339833967
68	-5.44346378097
68.5	-5.43883658663
69	-5.44809160935
69.5	-5.4689246903
70	-5.45966395594
70.5	-5.45966395594
71	-5.48050418302
71.5	-5.47587190907
72	-5.49440482263
72.5	-5.52222330531
73	-5.52686195221
73.5	-5.515266532
74	-5.51062948079
74.5	-5.50367509979
75	-5.5199042213
75.5	-5.47587190907
76	-5.47124027098
76.5	-5.52222330531
77	-5.53614116248
77.5	-5.54542292979
78	-5.56167218175
78.5	-5.61511790231
79	-5.60116734904
79.5	-5.64303639696
80	-5.66864875759
80.5	-5.68728821556
81	-5.66864875759
81.5	-5.67796719192
82	-5.68262737994
