"Latest: Time (s)","Latest: Temperature (°C)"
0,17.0690710308
0.5,17.903005174
1,18.393102626
1.5,18.4035115007
2,18.2562290154
2.5,18.2279449927
3,17.9969897916
3.5,17.4695077073
4,17.0885983678
4.5,16.5858685599
5,16.1112093752
5.5,15.6846623521
6,15.2120403509
6.5,14.7878086759
7,14.2845382384
7.5,13.644868416
8,13.0520665603
8.5,12.5652640345
9,12.083350623
9.5,11.5281195753
10,11.0313594544
10.5,10.6572851786
11,10.1411921917
11.5,9.73426071585
12,9.2966898662
12.5,8.85105958647
13,8.4189035652
13.5,8.03754900045
14,7.7435375171
14.5,7.31673732355
15,6.92277130821
15.5,6.58479809797
16,6.26209658856
16.5,5.98467362916
17,5.76904957329
17.5,5.40058372292
18,4.98305851393
18.5,4.6518897296
19,4.34016429022
19.5,4.05551751788
20,3.77647819853
20.5,3.46263995349
21,3.15037408879
21.5,2.86022752048
22,2.50054788718
22.5,2.16258696367
23,1.86210095025
23.5,1.6228932083
24,1.34180189663
24.5,1.15013721091
25,0.918593581884
25.5,0.687722704006
26,0.412128588936
26.5,0.20421194627
27,0.0211604021917
27.5,-0.148703156226
28,-0.313255070533
28.5,-0.458300849014
29,-0.622113196185
29.5,-0.719508619708
30,-0.825293147434
30.5,-0.929321413227
31,-1.03567555836
31.5,-1.10332058256
32,-1.20192436748
32.5,-1.30902960544
33,-1.38542072389
33.5,-1.54488580419
34,-1.74255012856
34.5,-1.98531348203
35,-2.21063792985
35.5,-2.41396089908
36,-2.59065267112
36.5,-2.69322306059
37,-2.83043033597
37.5,-2.9703098815
38,-3.12155237737
38.5,-3.23431352885
39,-3.38666547313
39.5,-3.56815209496
40,-3.768196149
40.5,-3.95607331464
41,-4.10264651323
41.5,-4.23866113453
42,-4.36623604666
42.5,-4.43581519089
43,-4.50328255141
43.5,-4.60247243326
44,-4.67705170513
44.5,-4.72006440495
45,-4.81306446927
45.5,-4.9290994637
46,-5.02952452681
46.5,-5.1440031995
47,-5.2519649799
47.5,-5.36027104062
48,-5.48977063954
48.5,-5.64303639696
49,-5.75494327111
49.5,-5.86722556061
50,-5.99399654909
50.5,-6.16378040775
51,-6.24899996108
51.5,-6.38200286024
52,-6.47017575573
52.5,-6.5490169171
53,-6.61126823038
53.5,-6.64723646875
54,-6.70486824585
54.5,-6.78909777436
55,-6.90013246743
55.5,-6.98002271557
56,-7.01640178618
56.5,-7.06983197967
57,-7.12822057487
57.5,-7.1330910702
58,-7.19159457125
58.5,-7.25509372861
59,-7.33587017447
59.5,-7.37756189988
60,-7.43651347466
60.5,-7.50296432344
61,-7.58931099587
61.5,-7.62638855308
62,-7.72299326011
62.5,-7.79253246959
63,-7.83731707657
63.5,-7.86970102888
64,-7.87468612411
64.5,-7.91709125741
65,-7.91209945867
65.5,-7.94705865912
66,-7.94705865912
66.5,-7.96705277134
67,-7.98956133174
67.5,-8.0120860008
68,-8.03963807547
68.5,-8.11992722411
69,-8.18531380707
69.5,-8.20797946204
70,-8.24326981347
70.5,-8.28617600765
71,-8.33672947295
71.5,-8.36963321359
72,-8.37976443359
72.5,-8.42285892227
73,-8.40764229092
73.5,-8.44062106807
74,-8.50159699938
74.5,-8.55759696367
75,-8.63412391262
75.5,-8.7185226922
76,-8.80315274566
76.5,-8.83141446395
77,-8.92666751167
77.5,-8.98602802356
78,-9.05068088221
78.5,-9.10768851592
79,-9.1518127644
79.5,-9.20640734066
80,-9.22462726066
80.5,-9.25328058054
81,-9.27674426399
81.5,-9.31589063005
82,-9.357702353
82.5,-9.40219043303
83,-9.45461296662
83.5,-9.43625477289
84,-9.48873628073
84.5,-9.53341716264
85,-9.57553011466
85.5,-9.62561557927
86,-9.64936930146
86.5,-9.67314174008
87,-9.67842705003
87.5,-9.71809644449
88,-9.74192318087
88.5,-9.80024585762
89,-9.82148218349
89.5,-9.86399992964
90,-9.90924113348
90.5,-9.93322002328
91,-9.96789011618
91.5,-10.0026004088
92,-10.013288606
92.5,-10.0667869919
93,-10.056079649
93.5,-10.1096548049
94,-10.1445303136
94.5,-10.1713854205
95,-10.1901984101
95.5,-10.254790515
96,-10.2359366593
96.5,-10.2601795276
97,-10.2952319504
97.5,-10.2736563354
98,-10.2736563354
98.5,-10.333027038
99,-10.368165634
99.5,-10.3843975026
100,-10.368165634
100.5,-10.3952236894
101,-10.4195970846
101.5,-10.446702186
102,-10.4548385595
102.5,-10.4955540328
103,-10.4982703923
103.5,-10.5390457809
104,-10.5553717132
104.5,-10.5962261038
105,-10.6016776341
105.5,-10.639866604
106,-10.7054488457
106.5,-10.6999780728
107,-10.7410337022
107.5,-10.7355563042
108,-10.7821467729
