Vernier Format 2
1g nacl.cmbl 10/8/2015 11:59:03 .
Latest
Time	Temperature
t	Temp
s	°C

0	10.4808298834
0.5	9.72114430257
1	8.74788994633
1.5	7.56198749895
2	6.43756867669
2.5	5.4394949304
3	4.74161432033
3.5	4.11367204587
4	3.58953018983
4.5	3.23372879251
5	2.99437120059
5.5	2.69760453187
6	2.32528148517
6.5	1.92312627566
7	1.58833769769
7.5	1.27414069218
8	0.963445422457
8.5	0.681836357385
9	0.420028367616
9.5	0.222074937341
10	0.0391041542251
10.5	-0.0466991312189
11	-0.126680400494
11.5	-0.242936758767
12	-0.397800878602
12.5	-0.569457541721
13	-0.809000037025
13.5	-1.08486025573
14	-1.36269400328
14.5	-1.53036150846
15	-1.69460030548
15.5	-1.87210896619
16	-2.08201612535
16.5	-2.24867657724
17	-2.40971364827
17.5	-2.55013058999
18	-2.69750303543
18.5	-2.8239872616
19	-2.97462238131
19.5	-3.11938733036
20	-3.25386562047
20.5	-3.34307057348
21	-3.44778728275
21.5	-3.5571931016
22	-3.64935330091
22.5	-3.77481018676
23	-3.90071176764
23.5	-4.08929644049
24	-4.247598589
24.5	-4.40661991925
25	-4.5618604545
25.5	-4.69515578522
26	-4.81987922279
26.5	-4.95417813498
27	-5.04781533977
27.5	-5.09358526633
28	-5.16924016421
28.5	-5.21287540359
29	-5.24736387144
29.5	-5.30953151766
30	-5.39953099757
30.5	-5.515266532
31	-5.63140087082
31.5	-5.77363081483
32	-5.93759429725
32.5	-6.07170626863
33	-6.14959848174
33.5	-6.2324122654
34	-6.30356118734
34.5	-6.38676291698
35	-6.479722164
35.5	-6.53227716918
36	-6.61606170721
36.5	-6.70486824585
37	-6.74815906224
37.5	-6.82526302921
38	-6.85180983335
38.5	-6.90980564317
39	-6.95337071872
39.5	-7.02125542468
40	-7.07469365913
40.5	-7.13796230226
41	-7.20135550805
41.5	-7.26242864073
42	-7.31382004103
42.5	-7.38492490501
43	-7.41193710404
43.5	-7.44143101844
44	-7.46356934223
44.5	-7.4807986606
45	-7.54487489612
45.5	-7.58190066915
46	-7.63628321055
46.5	-7.67836992876
47	-7.75526033239
47.5	-7.7875603145
48	-7.84229706277
48.5	-7.90211823076
49	-7.94705865912
49.5	-7.98455803847
50	-8.03963807547
50.5	-8.08226612109
51	-8.13249097839
51.5	-8.16518032272
52	-8.20797946204
52.5	-8.25336009013
53	-8.29122767154
53.5	-8.33419985356
54	-8.37976443359
54.5	-8.43300747814
55	-8.45077542109
55.5	-8.47363484715
56	-8.51177129901
56.5	-8.5397678289
57	-8.59073543657
57.5	-8.63412391262
58	-8.6494520225
58.5	-8.69036415569
59	-8.71340104886
59.5	-8.76978591222
60	-8.78774818125
60.5	-8.80828931194
61	-8.83655574537
61.5	-8.88544079781
62	-8.88801584829
62.5	-8.93698283827
63	-8.94730163058
63.5	-8.97053160157
64	-9.01704437616
64.5	-9.01704437616
65	-9.06103801197
65.5	-9.05585900919
66	-9.10768851592
66.5	-9.12584961031
67	-9.14142485533
67.5	-9.1518127644
68	-9.17519848529
68.5	-9.19600084202
69	-9.23243913161
69.5	-9.2376481579
70	-9.27152854982
70.5	-9.26631372875
71	-9.28196087166
71.5	-9.32372595018
72	-9.32372595018
72.5	-9.36816427617
73	-9.36816427617
73.5	-9.35247274177
74	-9.37339658897
74.5	-9.40219043303
75	-9.39695315733
75.5	-9.40742861246
76	-9.44674380831
76.5	-9.4310116152
77	-9.44936663416
77.5	-9.50975436394
78	-9.49398943414
78.5	-9.52289807915
79	-9.53604750499
79.5	-9.53341716264
80	-9.56499637694
80.5	-9.58606752472
81	-9.59660861062
81.5	-9.62033951201
82	-9.62033951201
82.5	-9.62033951201
83	-9.64936930146
83.5	-9.64144931645
84	-9.6546504467
84.5	-9.6837132867
85	-9.66521551177
85.5	-9.6678573564
86	-9.69428854195
86.5	-9.70222241934
87	-9.71280417331
87.5	-9.70751283174
88	-9.71809644449
88.5	-9.75251889759
89	-9.75781815521
89.5	-9.75781815521
90	-9.75781815521
90.5	-9.74722057296
91	-9.75251889759
91.5	-9.74192318087
92	-9.77372153046
92.5	-9.81086214465
93	-9.79759237166
93.5	-9.7869807693
94	-9.7922861023
94.5	-9.79759237166
95	-9.82413777984
95.5	-9.85070666523
96	-9.83476251355
96.5	-9.85070666523
97	-9.8746387821
97.5	-9.8985900032
98	-9.8932658565
98.5	-9.87995962323
99	-9.8932658565
99.5	-9.8985900032
100	-9.87995962323
100.5	-9.8746387821
101	-9.85070666523
101.5	-9.85070666523
102	-9.79759237166
102.5	-9.75251889759
103	-9.71280417331
103.5	-9.5570984815
104	-9.45461296662
104.5	-9.48873628073
105	-9.57026278698
105.5	-9.59133760797
106	-9.5570984815
106.5	-9.47823270609
107	-9.39171678495
107.5	-9.30544667471
108	-9.25849317075
108.5	-9.13104047673
109	-8.9034706816
109.5	-8.75952645343
110	-8.67245843652
110.5	-8.55759696367
111	-8.2962801528
111.5	-7.9071084499
112	-7.53500862412
112.5	-7.20623708814
113	-6.82526302921
113.5	-6.53227716918
114	-6.22293732262
114.5	-5.90708293404
115	-5.61511790231
115.5	-5.74793813163
116	-6.2324122654
116.5	-6.74334612814
117	-7.12335081595
117.5	-7.38983451692
118	-7.56214823088
118.5	-7.68332497779
119	-7.77761834755
119.5	-7.83233787505
120	-7.88964613516
120.5	-7.91709125741
121	-7.95705412889
121.5	-7.97955554033
122	-7.9995703051
122.5	-8.03462681117
123	-8.03963807547
123.5	-8.08226612109
124	-8.07724805315
124.5	-8.08226612109
125	-8.10987984287
125.5	-8.13751788989
126	-8.12746487267
126.5	-8.14757413169
127	-8.18027922248
127.5	-8.16014897293
128	-8.17021248067
128.5	-8.16518032272
