"Latest: Time (s)","Latest: Temperature (°C)"
0.0,23.2
0.5,23.3
1.0,23.4
1.5,23.3
2.0,23.2
2.5,22.8
3.0,22.6
3.5,22.2
4.0,21.9
4.5,21.8
5.0,21.7
5.5,21.7
6.0,21.6
6.5,21.4
7.0,21.1
7.5,20.9
8.0,20.8
8.5,20.9
9.0,20.8
9.5,20.4
10.0,20.1
10.5,19.7
11.0,19.4
11.5,19.0
12.0,18.6
12.5,18.2
13.0,17.7
13.5,17.3
14.0,16.8
14.5,16.3
15.0,16.0
15.5,15.6
16.0,15.3
16.5,15.0
17.0,14.7
17.5,14.4
18.0,14.1
18.5,13.8
19.0,13.5
19.5,13.1
20.0,12.7
20.5,12.3
21.0,12.1
21.5,11.9
22.0,11.3
22.5,11.0
23.0,10.8
23.5,10.6
24.0,10.4
24.5,10.3
25.0,10.1
25.5,9.7
26.0,9.3
26.5,9.1
27.0,8.8
27.5,8.6
28.0,8.4
28.5,8.2
29.0,7.9
29.5,7.7
30.0,7.5
30.5,7.3
31.0,7.1
31.5,6.9
32.0,6.7
32.5,6.6
33.0,6.4
33.5,6.2
34.0,6.0
34.5,5.7
35.0,5.5
35.5,5.2
36.0,5.0
36.5,4.8
37.0,4.6
37.5,4.5
38.0,4.3
38.5,4.2
39.0,4.0
39.5,3.8
40.0,3.6
40.5,3.4
41.0,3.3
41.5,3.2
42.0,2.9
42.5,2.6
43.0,2.4
43.5,2.2
44.0,2.0
44.5,1.8
45.0,1.7
45.5,1.6
46.0,1.5
46.5,1.5
47.0,1.3
47.5,1.1
48.0,1.0
48.5,0.9
49.0,0.7
49.5,0.4
50.0,0.3
50.5,0.2
51.0,0.1
51.5,0.0
52.0,0.0
52.5,-0.1
53.0,-0.2
53.5,-0.3
54.0,-0.4
54.5,-0.4
55.0,-0.5
55.5,-0.7
56.0,-0.8
56.5,-0.9
57.0,-1.0
57.5,-1.1
58.0,-1.2
58.5,-1.2
59.0,-1.3
59.5,-1.4
60.0,-1.5
60.5,-1.6
61.0,-1.7
61.5,-1.8
62.0,-1.8
62.5,-1.8
63.0,-1.9
63.5,-1.9
64.0,-2.0
64.5,-2.0
65.0,-2.1
65.5,-2.3
66.0,-2.4
66.5,-2.5
67.0,-2.6
67.5,-2.7
68.0,-2.8
68.5,-2.8
69.0,-2.9
69.5,-3.1
70.0,-3.2
70.5,-3.2
71.0,-3.3
71.5,-3.3
72.0,-3.0
72.5,-2.6
73.0,-2.3
73.5,-2.0
74.0,-1.7
74.5,-1.5
75.0,-1.4
75.5,-1.3
76.0,-1.2
76.5,-1.1
77.0,-1.1
77.5,-1.0
78.0,-1.0
78.5,-0.9
79.0,-0.9
79.5,-0.9
80.0,-0.9
80.5,-0.9
81.0,-0.9
81.5,-0.8
82.0,-0.8
82.5,-0.8
83.0,-0.8
83.5,-0.8
84.0,-0.8
84.5,-0.8
85.0,-0.8
85.5,-0.8
86.0,-0.8
86.5,-0.8
87.0,-0.8
87.5,-0.8
88.0,-0.8
88.5,-0.8
89.0,-0.8
89.5,-0.8
90.0,-0.9
90.5,-0.9
91.0,-0.9
91.5,-0.9
92.0,-0.9
92.5,-0.9
93.0,-0.8
93.5,-0.8
94.0,-0.8
94.5,-0.8
95.0,-0.8
95.5,-0.8
96.0,-0.8
96.5,-0.8
97.0,-0.8
97.5,-0.8
98.0,-0.8
98.5,-0.8
99.0,-0.8
99.5,-0.8
100.0,-0.8
100.5,-0.8
101.0,-0.8
101.5,-0.8
102.0,-0.8
102.5,-0.8
103.0,-0.8
103.5,-0.8
104.0,-0.8
104.5,-0.8
105.0,-0.8
