"Latest: Time (s)","Latest: Temperature (°C)"
0.0,23.2
0.5,23.1
1.0,22.9
1.5,22.8
2.0,22.6
2.5,22.3
3.0,21.9
3.5,21.6
4.0,20.9
4.5,20.2
5.0,19.8
5.5,19.4
6.0,18.9
6.5,18.4
7.0,17.7
7.5,17.0
8.0,16.6
8.5,16.0
9.0,15.4
9.5,15.0
10.0,14.5
10.5,14.0
11.0,13.4
11.5,13.0
12.0,12.4
12.5,11.7
13.0,11.3
13.5,11.2
14.0,11.0
14.5,10.6
15.0,10.1
15.5,9.6
16.0,9.2
16.5,8.8
17.0,8.6
17.5,8.5
18.0,8.3
18.5,8.3
19.0,8.4
19.5,8.2
20.0,7.9
20.5,7.6
21.0,7.2
21.5,6.7
22.0,6.4
22.5,6.3
23.0,6.1
23.5,5.9
24.0,5.6
24.5,5.3
25.0,5.1
25.5,4.8
26.0,4.5
26.5,4.1
27.0,3.7
27.5,3.4
28.0,3.2
28.5,3.1
29.0,3.0
29.5,2.8
30.0,2.7
30.5,2.6
31.0,2.5
31.5,2.4
32.0,2.2
32.5,2.1
33.0,2.0
33.5,1.9
34.0,1.7
34.5,1.5
35.0,1.3
35.5,1.1
36.0,1.0
36.5,0.9
37.0,0.7
37.5,0.5
38.0,0.3
38.5,0.2
39.0,0.0
39.5,-0.2
40.0,-0.3
40.5,-0.5
41.0,-0.6
41.5,-0.6
42.0,-0.7
42.5,-0.8
43.0,-1.0
43.5,-1.2
44.0,-1.3
44.5,-1.4
45.0,-1.6
45.5,-1.7
46.0,-1.8
46.5,-1.9
47.0,-2.1
47.5,-2.2
48.0,-2.3
48.5,-2.4
49.0,-2.5
49.5,-2.6
50.0,-2.7
50.5,-2.7
51.0,-2.8
51.5,-2.8
52.0,-2.9
52.5,-3.0
53.0,-3.1
53.5,-3.2
54.0,-3.4
54.5,-3.4
55.0,-3.5
55.5,-3.6
56.0,-3.6
56.5,-3.7
57.0,-3.8
57.5,-3.8
58.0,-3.9
58.5,-3.9
59.0,-4.0
59.5,-4.1
60.0,-4.2
60.5,-4.2
61.0,-4.3
61.5,-4.4
62.0,-4.6
62.5,-4.7
63.0,-4.7
63.5,-4.7
64.0,-4.8
64.5,-4.9
65.0,-5.0
65.5,-5.1
66.0,-5.2
66.5,-5.2
67.0,-5.2
67.5,-5.3
68.0,-5.3
68.5,-5.4
69.0,-5.5
69.5,-5.5
70.0,-5.5
70.5,-5.6
71.0,-5.6
71.5,-5.6
72.0,-5.6
72.5,-5.7
73.0,-5.8
73.5,-5.9
74.0,-5.9
74.5,-6.0
75.0,-6.1
75.5,-6.2
76.0,-6.3
76.5,-6.3
77.0,-6.4
77.5,-6.5
78.0,-6.5
78.5,-6.5
79.0,-6.6
79.5,-6.6
80.0,-6.7
80.5,-6.7
81.0,-6.8
81.5,-6.9
82.0,-7.0
82.5,-7.0
83.0,-7.1
83.5,-7.2
84.0,-7.2
84.5,-7.3
85.0,-7.4
85.5,-7.5
86.0,-7.5
86.5,-7.6
87.0,-7.7
87.5,-7.7
88.0,-7.8
88.5,-7.8
89.0,-7.9
89.5,-7.9
90.0,-7.9
90.5,-7.9
91.0,-8.0
91.5,-8.0
92.0,-8.0
92.5,-8.1
93.0,-8.1
93.5,-8.1
94.0,-8.1
94.5,-8.2
95.0,-8.2
95.5,-8.2
96.0,-8.3
96.5,-8.3
97.0,-8.4
97.5,-8.4
98.0,-8.4
98.5,-8.4
99.0,-8.5
99.5,-8.5
100.0,-8.6
100.5,-8.6
101.0,-8.6
101.5,-8.7
102.0,-8.7
102.5,-8.8
103.0,-8.8
103.5,-8.8
104.0,-8.8
104.5,-8.9
105.0,-8.9
105.5,-8.9
106.0,-9.0
106.5,-9.0
107.0,-9.0
107.5,-9.0
108.0,-9.0
108.5,-9.1
109.0,-9.1
109.5,-9.1
110.0,-9.2
110.5,-9.2
111.0,-9.2
111.5,-9.2
112.0,-8.7
112.5,-7.8
113.0,-7.0
113.5,-6.3
114.0,-5.8
114.5,-5.4
115.0,-5.2
115.5,-4.9
116.0,-4.8
116.5,-4.6
117.0,-4.5
117.5,-4.5
118.0,-4.4
118.5,-4.4
119.0,-4.3
119.5,-4.3
120.0,-4.3
120.5,-4.2
121.0,-4.2
121.5,-4.2
122.0,-4.2
122.5,-4.2
123.0,-4.1
123.5,-4.1
124.0,-4.1
124.5,-4.1
125.0,-4.1
125.5,-4.1
126.0,-4.1
126.5,-4.1
127.0,-4.1
127.5,-4.1
128.0,-4.1
128.5,-4.1
129.0,-4.1
129.5,-4.1
130.0,-4.1
130.5,-4.2
131.0,-4.2
131.5,-4.2
132.0,-4.2
132.5,-4.3
133.0,-4.3
133.5,-4.3
134.0,-4.3
134.5,-4.3
135.0,-4.2
135.5,-4.2
136.0,-4.2
136.5,-4.2
137.0,-4.2
137.5,-4.2
138.0,-4.2
138.5,-4.2
139.0,-4.2
139.5,-4.2
140.0,-4.2
140.5,-4.2
141.0,-4.4
141.5,-4.5
142.0,-4.6
142.5,-4.7
143.0,-4.8
143.5,-4.9
144.0,-5.0
144.5,-5.1
145.0,-5.1
145.5,-4.9
146.0,-4.7
146.5,-4.6
147.0,-4.6
147.5,-4.5
148.0,-4.5
148.5,-4.4
149.0,-4.4
149.5,-4.4
150.0,-4.4
150.5,-4.4
151.0,-4.4
151.5,-4.4
152.0,-4.4
152.5,-4.4
153.0,-4.4
153.5,-4.4
154.0,-4.4
154.5,-4.4
155.0,-4.4
155.5,-4.4
156.0,-4.4
156.5,-4.4
157.0,-4.4
157.5,-4.5
158.0,-4.5
158.5,-4.5
159.0,-4.5
159.5,-4.5
160.0,-4.5
160.5,-4.5
161.0,-4.5
161.5,-4.5
162.0,-4.5
162.5,-4.5
163.0,-4.5
163.5,-4.5
164.0,-4.5
164.5,-4.5
165.0,-4.5
165.5,-4.5
166.0,-4.6
166.5,-4.6
167.0,-4.6
167.5,-4.6
168.0,-4.6
168.5,-4.6
169.0,-4.6
169.5,-4.6
170.0,-4.6
170.5,-4.6
171.0,-4.6
171.5,-4.7
172.0,-4.7
172.5,-4.7
173.0,-4.7
173.5,-4.7
174.0,-4.7
174.5,-4.7
175.0,-4.7
175.5,-4.7
176.0,-4.8
176.5,-4.9
177.0,-4.8
177.5,-4.7
178.0,-4.7
178.5,-4.7
179.0,-4.6
179.5,-4.5
180.0,-4.4
215.0,-5.3
215.5,-5.3
216.0,-5.3
216.5,-5.3
217.0,-5.3
217.5,-5.3
218.0,-5.3
218.5,-5.3
219.0,-5.3
219.5,-5.3
220.0,-5.4
220.5,-5.4
221.0,-5.4
221.5,-5.4
222.0,-5.4
222.5,-5.4
223.0,-5.4
223.5,-5.4
224.0,-5.4
224.5,-5.4
225.0,-5.4
225.5,-5.4
226.0,-5.4
226.5,-5.4
227.0,-5.4
227.5,-5.4
228.0,-5.4
228.5,-5.4
229.0,-5.2
229.5,-5.2
230.0,-5.0
230.5,-4.8
231.0,-4.6
231.5,-4.3
