"Latest: Time (s)","Latest: Temperature (°C)"
0.0,42.9
0.5,42.8
1.0,42.7
1.5,42.6
2.0,42.5
2.5,42.4
3.0,42.3
3.5,42.2
4.0,42.1
4.5,42.1
5.0,42.0
5.5,41.9
6.0,41.9
6.5,41.8
7.0,41.8
7.5,41.7
8.0,41.7
8.5,41.6
9.0,41.6
9.5,41.5
10.0,41.5
10.5,41.5
11.0,41.4
11.5,41.4
12.0,41.3
12.5,41.3
13.0,41.3
13.5,41.3
14.0,41.2
14.5,41.2
15.0,41.2
15.5,41.1
16.0,41.1
16.5,41.1
17.0,41.0
17.5,41.0
18.0,41.0
18.5,41.0
19.0,40.9
19.5,40.9
20.0,40.9
20.5,40.9
21.0,40.9
21.5,40.8
22.0,40.8
22.5,40.8
23.0,40.8
23.5,40.7
24.0,40.7
24.5,40.7
25.0,40.6
25.5,40.6
26.0,40.6
26.5,40.6
27.0,40.6
27.5,40.5
28.0,40.5
28.5,40.5
29.0,40.5
29.5,40.5
30.0,40.5
30.5,40.4
31.0,40.4
31.5,40.4
32.0,40.4
32.5,40.4
33.0,40.4
33.5,40.4
34.0,40.3
34.5,40.3
35.0,40.3
35.5,40.3
36.0,40.3
36.5,40.3
37.0,40.3
37.5,40.2
38.0,40.2
38.5,40.2
39.0,40.2
39.5,40.2
40.0,40.2
40.5,40.2
41.0,40.2
41.5,40.2
42.0,40.2
42.5,40.2
43.0,40.1
43.5,40.1
44.0,40.1
44.5,40.0
45.0,39.9
45.5,39.9
46.0,39.9
46.5,40.0
47.0,40.0
47.5,40.0
48.0,40.0
48.5,40.1
49.0,40.1
49.5,40.1
50.0,40.1
50.5,40.1
51.0,40.1
51.5,40.1
52.0,40.1
52.5,40.1
53.0,40.1
53.5,40.1
54.0,40.1
54.5,40.1
55.0,40.1
55.5,40.1
56.0,40.1
56.5,40.1
57.0,40.1
57.5,40.1
58.0,40.1
58.5,40.1
59.0,40.1
59.5,40.1
60.0,40.1
60.5,40.1
