Vernier Format 2
trial 1 calor.cmbl 10/1/2015 12:13:11 .
Latest
Time	Temperature
t	Temp
s	°C

0	42.915538379
0.5	42.7844093095
1	42.673134594
1.5	42.5603956771
2	42.4576103597
2.5	42.3679934602
3	42.2801106872
3.5	42.1923309712
4	42.1176364171
4.5	42.0527446683
5	41.9717080688
5.5	41.9053224407
6	41.8664893496
6.5	41.8066602575
7	41.7517232808
7.5	41.7048962508
8	41.6629375522
8.5	41.6145519453
9	41.5710307102
9.5	41.5291444018
10	41.493719732
10.5	41.4518749368
11	41.4148770447
11.5	41.3859343551
12	41.344147078
12.5	41.3071999068
13	41.284718803
13.5	41.2542189716
14	41.2253352454
14.5	41.1868399904
15	41.1595838155
15.5	41.1307345215
16	41.100293828
16.5	41.0778712788
17	41.0474507444
17.5	41.0170417776
18	40.9914431776
18.5	40.9642536121
19	40.9322776623
19.5	40.9226873548
20	40.8939232803
20.5	40.8699610513
21	40.8523932671
21.5	40.826846937
22	40.8045005077
22.5	40.7805647371
23	40.7598261091
23.5	40.727930853
24	40.6976419259
24.5	40.672144181
25	40.6450615427
25.5	40.6339124736
26	40.6100267204
26.5	40.5893313613
27	40.565458581
27.5	40.5368203913
28	40.5352296729
28.5	40.5081921573
29	40.485932621
29.5	40.4811635009
30	40.4573220277
30.5	40.4493763969
31	40.4287213247
31.5	40.4128363101
32	40.4017186096
32.5	40.3810754005
33	40.3763123114
33.5	40.3604373176
34	40.3493266238
34.5	40.3302831681
35	40.3223496789
35.5	40.295381457
36	40.2969675819
36.5	40.2700075519
37	40.2700075519
37.5	40.2430562067
38	40.2398860303
38.5	40.2367159738
39	40.2176981508
39.5	40.2145289327
40	40.2018532564
40.5	40.1907636084
41	40.1717561856
41.5	40.1638376932
42	40.1575034354
42.5	40.1511696539
43	40.1321711646
43.5	40.1163423581
44	40.0862757951
44.5	40.0230126511
45	39.8982060458
45.5	39.8887345134
46	39.9471590163
46.5	39.9945596149
47	40.0182698168
47.5	40.0340802948
48	40.0324991145
48.5	40.0530567573
49	40.056219914
49.5	40.0593831887
50	40.0593831887
50.5	40.0593831887
51	40.0752013344
51.5	40.0783653181
52	40.0846936405
52.5	40.0926047092
53	40.1084290675
53.5	40.1084290675
54	40.1115942947
54.5	40.1115942947
55	40.1052639588
55.5	40.0957693439
56	40.0926047092
56.5	40.1020989686
57	40.0862757951
57.5	40.0846936405
58	40.0672918923
58.5	40.0672918923
59	40.0672918923
59.5	40.056219914
60	40.056219914
60.5	40.056219914
