"Latest: Time (s)","Latest: Temperature (°C)"
0.0,22.2
0.5,22.2
1.0,22.2
1.5,22.2
2.0,22.2
2.5,22.2
3.0,22.2
3.5,22.2
4.0,22.2
4.5,22.2
5.0,22.2
5.5,22.2
6.0,22.2
6.5,22.2
7.0,22.2
7.5,22.2
8.0,22.2
8.5,22.2
9.0,22.2
9.5,22.2
10.0,22.2
10.5,22.2
11.0,22.2
11.5,22.2
12.0,22.2
12.5,22.2
13.0,22.2
13.5,22.2
14.0,22.2
14.5,22.2
15.0,22.2
15.5,22.2
16.0,22.2
16.5,22.2
17.0,22.2
17.5,22.2
18.0,22.2
18.5,22.2
19.0,22.2
19.5,22.2
20.0,22.2
20.5,22.2
21.0,22.1
21.5,22.1
22.0,22.1
22.5,22.1
23.0,22.1
23.5,22.1
24.0,22.1
24.5,22.1
25.0,22.1
25.5,22.1
26.0,22.0
26.5,22.0
27.0,22.0
27.5,22.0
28.0,22.0
28.5,22.0
29.0,22.0
29.5,22.0
30.0,22.0
30.5,22.0
31.0,22.0
31.5,22.0
32.0,22.0
32.5,22.0
33.0,22.0
33.5,22.0
34.0,22.0
34.5,22.0
35.0,22.0
35.5,22.0
36.0,22.0
36.5,22.0
37.0,22.0
37.5,22.0
38.0,22.0
38.5,22.0
39.0,22.0
39.5,22.0
40.0,22.0
40.5,22.0
41.0,22.0
41.5,22.0
42.0,22.0
42.5,22.0
43.0,22.0
43.5,22.0
44.0,22.0
44.5,22.0
45.0,22.0
45.5,22.0
46.0,22.0
46.5,22.0
47.0,22.0
47.5,22.0
48.0,22.0
48.5,22.0
49.0,22.0
49.5,22.0
50.0,22.0
50.5,22.0
51.0,22.0
51.5,22.0
52.0,22.0
52.5,22.0
53.0,22.0
53.5,22.0
54.0,22.0
54.5,22.0
55.0,22.0
55.5,22.0
56.0,22.0
56.5,22.0
57.0,22.0
57.5,22.0
58.0,22.0
58.5,22.0
59.0,22.0
59.5,22.0
60.0,22.0
60.5,22.0
61.0,22.0
61.5,22.0
62.0,22.0
62.5,22.0
63.0,22.0
63.5,22.0
64.0,22.0
64.5,22.0
65.0,22.0
65.5,22.0
66.0,22.0
66.5,22.0
67.0,22.0
67.5,22.1
68.0,22.0
68.5,22.1
69.0,22.0
69.5,22.0
70.0,22.1
70.5,22.0
71.0,22.0
71.5,22.1
72.0,22.0
72.5,22.1
73.0,22.1
73.5,22.1
74.0,22.1
74.5,22.1
75.0,22.1
75.5,22.1
76.0,22.1
76.5,22.1
77.0,22.1
77.5,22.1
78.0,22.1
78.5,22.1
79.0,22.1
79.5,22.1
80.0,22.0
80.5,22.0
