Vernier Format 2
trial 2 heat 1g.cmbl 10/1/2015 12:48:34 .
Latest
Time	Temperature
t	Temp
s	°C

0	22.519789722
0.5	22.5081381357
1	22.5066816581
1.5	22.5008556822
2	22.497942655
2.5	22.489203416
3	22.4790073384
3.5	22.4790073384
4	22.4615275962
4.5	22.476094114
5	22.4644409527
5.5	22.4629842778
6	22.4513306397
6.5	22.4440469
7	22.4411333575
7.5	22.4440469
8	22.4353061925
8.5	22.4280220859
9	22.4221946802
9.5	22.4163671671
10	22.4134533703
10.5	22.4003409514
11	22.4090826246
11.5	22.3945130343
12	22.3945130343
12.5	22.3886850089
13	22.3741144708
13.5	22.3653718215
14	22.3580860928
14.5	22.3464285712
15	22.3362278795
15.5	22.3216548775
16	22.3143681174
16.5	22.3085385847
17	22.3027089409
17.5	22.2954217297
18	22.2925067965
18.5	22.2823043104
19	22.2823043104
19.5	22.2823043104
20	22.2793892514
20.5	22.2823043104
21	22.2677287354
21.5	22.2706439065
22	22.2633559261
22.5	22.2546101175
23	22.2575254152
23.5	22.2429486443
24	22.2516947916
24.5	22.2414909284
25	22.2385754752
25.5	22.2385754752
26	22.2385754752
26.5	22.2385754752
27	22.2356599937
27.5	22.2342022423
28	22.2414909284
28.5	22.2356599937
29	22.2342022423
29.5	22.245864055
30	22.2444063532
30.5	22.2385754752
31	22.2444063532
31.5	22.2414909284
32	22.2385754752
32.5	22.2444063532
33	22.245864055
33.5	22.2414909284
34	22.2487794374
34.5	22.245864055
35	22.2487794374
35.5	22.2516947916
36	22.2575254152
36.5	22.2487794374
37	22.2575254152
37.5	22.2516947916
38	22.2575254152
38.5	22.2575254152
39	22.2604406847
39.5	22.2604406847
40	22.2546101175
40.5	22.2633559261
41	22.2677287354
41.5	22.2677287354
42	22.2662711393
42.5	22.2604406847
43	22.2662711393
43.5	22.2662711393
44	22.2662711393
44.5	22.2677287354
45	22.2677287354
45.5	22.2764741645
46	22.2677287354
46.5	22.2662711393
47	22.2764741645
