"Latest: Time (s)","Latest: Temperature (°C)"
0.0,22.5
0.5,22.5
1.0,22.5
1.5,22.5
2.0,22.5
2.5,22.5
3.0,22.5
3.5,22.5
4.0,22.5
4.5,22.5
5.0,22.5
5.5,22.5
6.0,22.5
6.5,22.5
7.0,22.5
7.5,22.5
8.0,22.4
8.5,22.5
9.0,22.4
9.5,22.4
10.0,22.4
10.5,22.4
11.0,22.4
11.5,22.4
12.0,22.4
12.5,22.4
13.0,22.4
13.5,22.4
14.0,22.4
14.5,22.4
15.0,22.4
15.5,22.4
16.0,22.4
16.5,22.4
17.0,22.4
17.5,22.4
18.0,22.4
18.5,22.4
19.0,22.4
19.5,22.4
20.0,22.4
20.5,22.4
21.0,22.4
21.5,22.4
22.0,22.4
22.5,22.4
23.0,22.4
23.5,22.4
24.0,22.4
24.5,22.4
25.0,22.4
25.5,22.4
26.0,22.4
26.5,22.4
27.0,22.4
27.5,22.4
28.0,22.4
28.5,22.4
29.0,22.4
29.5,22.4
30.0,22.4
30.5,22.4
31.0,22.4
31.5,22.4
32.0,22.4
32.5,22.4
33.0,22.4
33.5,22.4
34.0,22.4
34.5,22.4
35.0,22.4
35.5,22.4
36.0,22.4
36.5,22.4
37.0,22.4
37.5,22.4
38.0,22.4
38.5,22.4
39.0,22.4
39.5,22.4
40.0,22.4
40.5,22.4
41.0,22.4
41.5,22.4
42.0,22.4
42.5,22.4
43.0,22.4
43.5,22.4
44.0,22.4
44.5,22.4
45.0,22.4
45.5,22.4
46.0,22.4
46.5,22.4
47.0,22.4
47.5,22.4
48.0,22.4
48.5,22.4
49.0,22.4
49.5,22.4
50.0,22.4
50.5,22.4
51.0,22.4
51.5,22.4
52.0,22.4
52.5,22.4
53.0,22.4
53.5,22.4
54.0,22.4
54.5,22.4
55.0,22.3
55.5,22.4
56.0,22.4
56.5,22.4
57.0,22.4
57.5,22.3
58.0,22.3
58.5,22.4
59.0,22.3
59.5,22.3
60.0,22.4
60.5,22.4
61.0,22.4
61.5,22.4
62.0,22.4
62.5,22.4
63.0,22.4
63.5,22.4
64.0,22.4
64.5,22.4
65.0,22.4
65.5,22.4
66.0,22.4
66.5,22.4
67.0,22.4
67.5,22.4
68.0,22.4
68.5,22.4
69.0,22.3
69.5,22.3
70.0,22.4
70.5,22.4
71.0,22.4
71.5,22.4
72.0,22.4
72.5,22.4
73.0,22.4
73.5,22.4
74.0,22.3
74.5,22.3
75.0,22.3
75.5,22.3
76.0,22.3
76.5,22.3
77.0,22.4
77.5,22.4
78.0,22.4
78.5,22.4
79.0,22.4
79.5,22.4
80.0,22.3
80.5,22.3
81.0,22.4
81.5,22.3
82.0,22.3
82.5,22.3
83.0,22.3
83.5,22.4
84.0,22.3
84.5,22.4
85.0,22.4
85.5,22.4
86.0,22.4
86.5,22.4
87.0,22.4
87.5,22.4
88.0,22.4
88.5,22.4
89.0,22.4
89.5,22.4
90.0,22.4
90.5,22.4
91.0,22.4
91.5,22.4
92.0,22.4
92.5,22.4
93.0,22.4
93.5,22.4
94.0,22.4
94.5,22.4
95.0,22.4
95.5,22.4
96.0,22.3
96.5,22.3
97.0,22.3
97.5,22.2
98.0,22.2
98.5,22.2
99.0,22.2
99.5,22.2
100.0,22.2
100.5,22.2
101.0,22.2
101.5,22.1
102.0,22.1
102.5,22.1
103.0,22.1
103.5,22.1
104.0,22.1
104.5,22.1
105.0,22.1
105.5,22.1
